original_paper	cite_titles	links
Open-source Tools for Training Resources–OTTR	Data science pedagogical tools and practices: A systematic literature review	https://link.springer.com/article/10.1007/s10639-023-12102-y
Open-source Tools for Training Resources–OTTR	Diversifying the genomic data science research community	https://genome.cshlp.org/content/32/7/1231.short
Open-source Tools for Training Resources–OTTR	[HTML][HTML] Motivation, inclusivity, and realism should drive data science education	https://pmc.ncbi.nlm.nih.gov/articles/PMC11101914/
Open-source Tools for Training Resources–OTTR	Empowering Learning: Standalone, Browser-Only Courses for Seamless Education	https://arxiv.org/abs/2311.06961
What's the best chatbot for me? Researchers put LLMs through their paces.	“HOT” ChatGPT: The promise of ChatGPT in detecting and discriminating hateful, offensive, and toxic comments on social media	https://dl.acm.org/doi/abs/10.1145/3643829
What's the best chatbot for me? Researchers put LLMs through their paces.	[HTML][HTML] Current evaluation and recommendations for the use of artificial intelligence tools in education	https://www.degruyterbrill.com/document/doi/10.1515/tjb-2023-0254/html
What's the best chatbot for me? Researchers put LLMs through their paces.	[HTML][HTML] Accelerating editorial processes in scientific journals: Leveraging AI for rapid manuscript review	https://www.sciencedirect.com/science/article/pii/S2772906024003571
What's the best chatbot for me? Researchers put LLMs through their paces.	Generalization bias in large language model summarization of scientific research	https://royalsocietypublishing.org/doi/abs/10.1098/rsos.241776
What's the best chatbot for me? Researchers put LLMs through their paces.	[HTML][HTML] Multiple criteria and statistical sentiment analysis on flooding	https://www.nature.com/articles/s41598-024-81562-0
What's the best chatbot for me? Researchers put LLMs through their paces.	Evolution of generative AI for business decision-making: A case of ChatGPT	https://publish.thescienceinsight.com/index.php/msbd/article/view/87
What's the best chatbot for me? Researchers put LLMs through their paces.	BNoteToDanmu: Category-Guided Note-to-Danmu Conversion Method for Learning on Video Sharing Platforms	https://dl.acm.org/doi/abs/10.1145/3723349
What's the best chatbot for me? Researchers put LLMs through their paces.	To take a different approach: Can large language models provide knowledge related to respiratory aspiration?	https://journals.sagepub.com/doi/abs/10.1177/20552076251349616
What's the best chatbot for me? Researchers put LLMs through their paces.	Tahap Pengetahuan Dan Tahap Kekerapan Penggunaan Aplikasi Dikuasakan/Dibantu Kecerdasan Buatan (Artificial Intelligence, AI) Dalam Kalangan Pelajar DIT & …	http://journalstem.net/ojs/index.php/pkb/article/view/44
