response_id	X304b2bf0_answers	X60b89270_answers
ACYDBNgg0VfRX5RBN6BjxuqUPlgr6S04hWOdN6_nM2Gtzjd3RPRdfzxQr9wKhYhh_Gropf4	Option A	The jay, pig, fox, zebra, and my wolves quack!
ACYDBNgjaan0jWm0bWOXuXcBVLesIwKlft1dLLFevBZ48mT_UtZKJUSUK2W17AY9yyd2UIM	Option 5	How vexingly quick daft zebra jump!
ACYDBNjbE2Ov9FLzyB2h9eVe-Jn-bopq0nNWDu-QGVlzA9LS48pIg_mEytKGvcb9_dRX6FE	Option C	Farmer Jack realized that big yellow quilts were expensive.
ACYDBNi451goiE969ve7J08TVGrv8xcjW0BbNLYGZNszMyzWNFEVBjzSDAeFSfV37PuTidg	Option 5	Five quacking zephyrs jolt my wax bed.
ACYDBNgeyxv6f9AlqhJlDtKq0PG9vg3hKKEECw-IzP-GH-qCbLhuyxsur1Asar27VFMgH74	Option 5	The five boxing wizards jump quickly.
ACYDBNhAcCVhgl5lbSk8PoUcXAUIgxZoVz0dN3UbwD6MaGvnoxVaaXzPQU6tVQOR-Twv7Xo	Option D	We promptly judged antique ivory buckles for the next prize.
ACYDBNjL2UL6-alble6W4eHV_kd7Y7akAyoHFsmY6txug5AmlbsKTcCS5ck_0nqKLJq8CCg	Option B	How vexingly quick daft zebras jump!
ACYDBNi9Ys-5FOuQxId_lgWFSB06Ze18W2neXg9aP36bngUqUakMW2jWOzWMfdu8LThKq2A	Option 5	The quick brown fox jumps over the lazy dog
ACYDBNgg0VfRX5RBN6BjxuqUPlgr6S04hWOdN6_nM2Gtzjd3RPRdfzxQr9wKhYhh_Gropf4	Option A	The jay, pig, fox, zebra, and my wolves quack!
ACYDBNgjaan0jWm0bWOXuXcBVLesIwKlft1dLLFevBZ48mT_UtZKJUSUK2W17AY9yyd2UIM	Option 5	How vexingly quick daft zebra jump!
ACYDBNjbE2Ov9FLzyB2h9eVe-Jn-bopq0nNWDu-QGVlzA9LS48pIg_mEytKGvcb9_dRX6FE	Option C	Farmer Jack realized that big yellow quilts were expensive.
ACYDBNi451goiE969ve7J08TVGrv8xcjW0BbNLYGZNszMyzWNFEVBjzSDAeFSfV37PuTidg	Option 5	Five quacking zephyrs jolt my wax bed.
ACYDBNgeyxv6f9AlqhJlDtKq0PG9vg3hKKEECw-IzP-GH-qCbLhuyxsur1Asar27VFMgH74	Option 5	The five boxing wizards jump quickly.
ACYDBNhAcCVhgl5lbSk8PoUcXAUIgxZoVz0dN3UbwD6MaGvnoxVaaXzPQU6tVQOR-Twv7Xo	Option D	We promptly judged antique ivory buckles for the next prize.
ACYDBNjL2UL6-alble6W4eHV_kd7Y7akAyoHFsmY6txug5AmlbsKTcCS5ck_0nqKLJq8CCg	Option B	How vexingly quick daft zebras jump!
ACYDBNi9Ys-5FOuQxId_lgWFSB06Ze18W2neXg9aP36bngUqUakMW2jWOzWMfdu8LThKq2A	Option 5	The quick brown fox jumps over the lazy dog
